2018-04-21 10:05:39 this bot joined the server
2018-04-21 10:19:04 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #07c611 to #30fea8
2018-04-21 10:19:11 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #30fea8 to #905561
2018-04-21 10:19:19 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #905561 to #c98cf3
2018-04-21 10:19:22 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #c98cf3 to #b7b55f
2018-04-21 10:19:26 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #b7b55f to #70f14e
2018-04-21 10:19:30 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #70f14e to #174678
2018-04-21 10:19:34 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #174678 to #63cd6b
2018-04-21 10:19:41 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #63cd6b to #bec1e1
2018-04-21 10:19:48 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #bec1e1 to #1bde1c
2018-04-21 10:19:52 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #1bde1c to #91c87e
2018-04-21 10:19:56 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #91c87e to #35c8a2
2018-04-21 10:20:03 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #35c8a2 to #9877cd
2018-04-21 10:20:08 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #9877cd to #d6909d
2018-04-21 10:20:12 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #d6909d to #d591f8
2018-04-21 10:20:15 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #d591f8 to #612bc3
2018-04-21 10:20:23 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #612bc3 to #6279c4
2018-04-21 10:20:26 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #6279c4 to #b8b11b
2018-04-21 10:20:34 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #b8b11b to #a19c22
2018-04-21 10:20:38 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a19c22 to #912fc3
2018-04-21 10:20:45 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #912fc3 to #b7cf09
2018-04-21 10:20:52 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #b7cf09 to #537fcc
2018-04-21 10:20:59 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #537fcc to #bbec1e
