2018-04-22 00:01:06 this bot joined the server
2018-04-22 01:05:26 Role color: 'my coloring role' changed from #498493 to #65f061
2018-04-22 01:05:36 Role color: 'my coloring role' changed from #65f061 to #b89c24
2018-04-22 01:05:52 Role color: 'my coloring role' changed from #b89c24 to #5ca111
2018-04-22 01:06:01 Role color: 'my coloring role' changed from #5ca111 to #122213
2018-04-22 01:06:18 Role color: 'my coloring role' changed from #122213 to #63d01f
2018-04-22 01:06:28 Role color: 'my coloring role' changed from #63d01f to #5ae01e
2018-04-22 01:06:45 Role color: 'my coloring role' changed from #5ae01e to #7954f4
2018-04-22 01:06:56 Role color: 'my coloring role' changed from #7954f4 to #177ff8
2018-04-22 01:07:07 Role color: 'my coloring role' changed from #177ff8 to #20fa66
2018-04-22 01:07:17 Role color: 'my coloring role' changed from #20fa66 to #100492
2018-04-22 01:07:28 Role color: 'my coloring role' changed from #100492 to #7128f3
2018-04-22 01:07:45 Role color: 'my coloring role' changed from #7128f3 to #5788f7
2018-04-22 01:08:02 Role color: 'my coloring role' changed from #5788f7 to #334a67
2018-04-22 01:08:20 Role color: 'my coloring role' changed from #334a67 to #0391f5
2018-04-22 01:08:30 Role color: 'my coloring role' changed from #0391f5 to #920b60
2018-04-22 01:08:41 Role color: 'my coloring role' changed from #920b60 to #5347a1
2018-04-22 01:08:58 Role color: 'my coloring role' changed from #5347a1 to #7e2e5b
2018-04-22 01:09:09 Role color: 'my coloring role' changed from #7e2e5b to #a23f80
2018-04-22 01:09:19 Role color: 'my coloring role' changed from #a23f80 to #a8e24c
2018-04-22 01:09:37 Role color: 'my coloring role' changed from #a8e24c to #a28488
2018-04-22 01:09:55 Role color: 'my coloring role' changed from #a28488 to #4051b6
2018-04-22 01:10:11 Role color: 'my coloring role' changed from #4051b6 to #9d2715
2018-04-22 01:10:22 Role color: 'my coloring role' changed from #9d2715 to #116e66
2018-04-22 01:10:33 Role color: 'my coloring role' changed from #116e66 to #a30cf2
2018-04-22 01:10:50 Role color: 'my coloring role' changed from #a30cf2 to #6c46c1
2018-04-22 01:11:01 Role color: 'my coloring role' changed from #6c46c1 to #8618e2
2018-04-22 01:11:11 Role color: 'my coloring role' changed from #8618e2 to #4df3df
2018-04-22 01:11:22 Role color: 'my coloring role' changed from #4df3df to #b346ba
2018-04-22 01:11:37 Role color: 'my coloring role' changed from #b346ba to #cb08f1
2018-04-22 01:11:47 Role color: 'my coloring role' changed from #cb08f1 to #95be79
2018-04-22 01:11:57 Role color: 'my coloring role' changed from #95be79 to #7bd66c
2018-04-22 01:12:07 Role color: 'my coloring role' changed from #7bd66c to #662f76
2018-04-22 01:12:17 Role color: 'my coloring role' changed from #662f76 to #746009
2018-04-22 01:12:39 Role color: 'my coloring role' changed from #746009 to #bc60ab
2018-04-22 01:12:49 Role color: 'my coloring role' changed from #bc60ab to #d4394a
2018-04-22 01:12:59 Role color: 'my coloring role' changed from #d4394a to #34066f
2018-04-22 01:13:15 Role color: 'my coloring role' changed from #34066f to #0e587f
2018-04-22 01:13:24 Role color: 'my coloring role' changed from #0e587f to #e634db
2018-04-22 01:13:46 Role color: 'my coloring role' changed from #e634db to #b23cf2
2018-04-22 01:13:56 Role color: 'my coloring role' changed from #b23cf2 to #80e5bf
2018-04-22 01:14:06 Role color: 'my coloring role' changed from #80e5bf to #77b3a5
2018-04-22 01:14:22 Role color: 'my coloring role' changed from #77b3a5 to #63444a
2018-04-22 01:14:32 Role color: 'my coloring role' changed from #63444a to #0dab7e
2018-04-22 01:14:48 Role color: 'my coloring role' changed from #0dab7e to #b3148f
2018-04-22 01:14:58 Role color: 'my coloring role' changed from #b3148f to #8ad42e
2018-04-22 01:15:08 Role color: 'my coloring role' changed from #8ad42e to #143204
2018-04-22 01:15:18 Role color: 'my coloring role' changed from #143204 to #8deca4
2018-04-22 01:15:28 Role color: 'my coloring role' changed from #8deca4 to #53cef8
2018-04-22 01:15:49 Role color: 'my coloring role' changed from #53cef8 to #77b722
2018-04-22 01:15:59 Role color: 'my coloring role' changed from #77b722 to #c2319e
2018-04-22 01:16:21 Role color: 'my coloring role' changed from #c2319e to #f35f5b
2018-04-22 01:16:31 Role color: 'my coloring role' changed from #f35f5b to #fc24b8
2018-04-22 01:16:41 Role color: 'my coloring role' changed from #fc24b8 to #53cd46
2018-04-22 01:16:51 Role color: 'my coloring role' changed from #53cd46 to #f4060d
2018-04-22 01:17:19 Role color: 'my coloring role' changed from #f4060d to #0d2232
2018-04-22 01:17:29 Role color: 'my coloring role' changed from #0d2232 to #871181
2018-04-22 01:17:38 Role color: 'my coloring role' changed from #871181 to #8d33cc
2018-04-22 01:17:48 Role color: 'my coloring role' changed from #8d33cc to #6ca76e
2018-04-22 01:17:58 Role color: 'my coloring role' changed from #6ca76e to #dbbe78
2018-04-22 01:18:07 Role color: 'my coloring role' changed from #dbbe78 to #a28f1b
2018-04-22 01:18:17 Role color: 'my coloring role' changed from #a28f1b to #3b33f4
2018-04-22 01:18:27 Role color: 'my coloring role' changed from #3b33f4 to #ec2f01
2018-04-22 01:18:37 Role color: 'my coloring role' changed from #ec2f01 to #3e065a
2018-04-22 01:18:47 Role color: 'my coloring role' changed from #3e065a to #ab69cb
2018-04-22 01:18:58 Role color: 'my coloring role' changed from #ab69cb to #71470f
2018-04-22 01:19:08 Role color: 'my coloring role' changed from #71470f to #a2b6c9
2018-04-22 01:19:18 Role color: 'my coloring role' changed from #a2b6c9 to #d47fd3
2018-04-22 01:19:28 Role color: 'my coloring role' changed from #d47fd3 to #51d2c3
2018-04-22 01:19:38 Role color: 'my coloring role' changed from #51d2c3 to #a78f56
2018-04-22 01:19:48 Role color: 'my coloring role' changed from #a78f56 to #ce98e1
2018-04-22 01:19:57 Role color: 'my coloring role' changed from #ce98e1 to #49f207
2018-04-22 01:20:07 Role color: 'my coloring role' changed from #49f207 to #6a6567
2018-04-22 01:20:17 Role color: 'my coloring role' changed from #6a6567 to #edbe86
