2018-04-24 19:12:39 this bot joined the server
2018-04-24 19:12:39 Member role add: 'Synapse' role was added to @Synapse#0692
2018-04-24 19:12:53 Member role add: '📞SEKRETER📞' role was added to @Synapse#0692
2018-04-24 21:42:41 Role color: '👑 KİNG FOUNDER👑' changed from #7bead2 to #d06b38
2018-04-24 21:42:51 Role color: '👑 KİNG FOUNDER👑' changed from #d06b38 to #368d79
2018-04-24 21:43:01 Role color: '👑 KİNG FOUNDER👑' changed from #368d79 to #0a5c44
2018-04-24 21:43:11 Role color: '👑 KİNG FOUNDER👑' changed from #0a5c44 to #3c8759
2018-04-24 21:43:21 Role color: '👑 KİNG FOUNDER👑' changed from #3c8759 to #353c75
2018-04-24 21:43:38 Role color: '👑 KİNG FOUNDER👑' changed from #353c75 to #b29ec5
2018-04-24 21:43:49 Role color: '👑 KİNG FOUNDER👑' changed from #b29ec5 to #20b60f
2018-04-24 21:44:00 Role color: '👑 KİNG FOUNDER👑' changed from #20b60f to #fe7ed8
2018-04-24 21:44:17 Role color: '👑 KİNG FOUNDER👑' changed from #fe7ed8 to #336b20
2018-04-24 21:44:27 Role color: '👑 KİNG FOUNDER👑' changed from #336b20 to #447bba
2018-04-24 21:45:03 Role color: '👑 KİNG FOUNDER👑' changed from #447bba to #1909fc
2018-04-24 21:45:12 Role color: '👑 KİNG FOUNDER👑' changed from #1909fc to #a86b69
2018-04-24 21:45:23 Role color: '👑 KİNG FOUNDER👑' changed from #a86b69 to #03c22c
2018-04-24 21:45:46 Role color: '👑 KİNG FOUNDER👑' changed from #03c22c to #4665fe
2018-04-24 21:45:56 Role color: '👑 KİNG FOUNDER👑' changed from #4665fe to #1c49c8
2018-04-24 21:46:07 Role color: '👑 KİNG FOUNDER👑' changed from #1c49c8 to #2ab40d
2018-04-24 21:46:24 Role color: '👑 KİNG FOUNDER👑' changed from #2ab40d to #84ff72
2018-04-24 21:46:34 Role color: '👑 KİNG FOUNDER👑' changed from #84ff72 to #d8ccc0
2018-04-24 21:46:45 Role color: '👑 KİNG FOUNDER👑' changed from #d8ccc0 to #775d6e
2018-04-24 21:46:55 Role color: '👑 KİNG FOUNDER👑' changed from #775d6e to #a68e8b
2018-04-24 21:47:05 Role color: '👑 KİNG FOUNDER👑' changed from #a68e8b to #3da258
2018-04-24 21:47:15 Role color: '👑 KİNG FOUNDER👑' changed from #3da258 to #0eef0f
2018-04-24 21:47:26 Role color: '👑 KİNG FOUNDER👑' changed from #0eef0f to #d36a78
2018-04-24 21:47:36 Role color: '👑 KİNG FOUNDER👑' changed from #d36a78 to #6e2a2e
2018-04-24 21:47:47 Role color: '👑 KİNG FOUNDER👑' changed from #6e2a2e to #363f70
2018-04-24 21:47:57 Role color: '👑 KİNG FOUNDER👑' changed from #363f70 to #d2813b
2018-04-24 21:48:14 Role color: '👑 KİNG FOUNDER👑' changed from #d2813b to #89605c
2018-04-24 21:48:24 Role color: '👑 KİNG FOUNDER👑' changed from #89605c to #e1dd8b
2018-04-24 21:48:35 Role color: '👑 KİNG FOUNDER👑' changed from #e1dd8b to #1f0193
2018-04-24 21:48:45 Role color: '👑 KİNG FOUNDER👑' changed from #1f0193 to #08683c
2018-04-24 21:48:55 Role color: '👑 KİNG FOUNDER👑' changed from #08683c to #31aa54
